1,2,3,4,5,6,7,8,9,,,,,,
,,,1961," 323,991 ","+34,809    ",+12.04          ," 159,989 "," 164,002 ",,,,,,
,,,1971," 393,773 ","+69,782    ",+21.54          ," 195,657 "," 198,116 ",,,,,,
,,,1981," 448,914 ","+55,141    ",+14.0          ," 223,859 "," 225,055 ",,,,,,
,,,1991," 546,281 ","+97,367    ",+21.69          ," 273,234 "," 273,047 ",,,,,,
,,,2001," 648,201 ","+101,920    ",+18.66          ," 322,799 "," 325,402 ",,,,,,
,,,2011," 733,110 ","+84,909    ",+13.10          ," 359,945 "," 373,165 ",,,,,,
,,,,,,,,,,,,,,
21,391,Baudh,1901," 122,615 ",                       --- ,                    --- ," 60,917 "," 61,698 ",,,,,,
,,,1911," 138,767 ","+16,152    ",+13.17          ," 68,932 "," 69,835 ",,,,,,
,,,1921," 138,149 ",-618 ,-0.45 ," 68,471 "," 69,678 ",,,,,,
,,,1931," 151,112 ","+12,963    ",+9.38          ," 74,742 "," 76,370 ",,,,,,
,,,1941," 165,204 ","+14,092    ",+9.33          ," 81,743 "," 83,461 ",,,,,,
,,,1951," 167,713 ","+2,509    ",+1.52          ," 83,954 "," 83,759 ",,,,,,
,,,1961," 190,436 ","+22,723    ",+13.55          ," 95,696 "," 94,740 ",,,,,,
,,,1971," 227,902 ","+37,466    ",+19.67          ," 114,576 "," 113,326 ",,,,,,
,,,1981," 268,366 ","+40,464    ",+17.75          ," 135,003 "," 133,363 ",,,,,,
,,,1991," 317,622 ","+49,256    ",+18.35          ," 159,860 "," 157,762 ",,,,,,
,,,2001," 373,372 ","+55,750    ",+17.55          ," 188,155 "," 185,217 ",,,,,,
,,,2011," 441,162 ","+67,790    ",+18.16          ," 221,625 "," 219,537 ",,,,,,
,,,,,,,,,,,,,,
21,392,Subarnapur  ,1901," 117,731 ",                       --- ,                    --- ," 57,668 "," 60,063 ",,,,,,
